,Magnum Key Eye,Little Zephyr,Bradman Best,Jet Black Zesta,Mexican Mavis,Zulu Boy,Scotty
0,"[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 22, 857338), 5.0, 9.8]"
1,"[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 23, 976233), 5.0, 9.8]"
2,"[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 25, 104982), 5.0, 9.8]"
3,"[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 26, 250966), 5.0, 9.8]"
4,"[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 27, 402287), 5.0, 9.8]"
5,"[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 28, 531339), 5.0, 9.8]"
6,"[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 29, 662201), 5.0, 9.8]"
7,"[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 30, 784164), 5.0, 9.8]"
8,"[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 31, 915989), 5.0, 9.8]"
9,"[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 1.16, 1.5]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 7.5, 17.0]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 101.0, 750.0]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 71.0, 610.0]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 41.0, 370.0]","[datetime.datetime(2022, 11, 28, 19, 55, 33, 64244), 5.0, 9.8]"
