,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 15:59:14.837106,"(51.0, 260.0, 147.5)","(26.0, 90.0, 57.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.330666666666667)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.0)","(10.0, 13.0, 12.48)","(81.0, 170.0, 132.5)"
04-01-2023 15:59:16.357627,"(51.0, 260.0, 147.5)","(26.0, 90.0, 57.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.351111111111112)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.0)","(10.0, 13.0, 12.48)","(81.0, 220.0, 131.76470588235293)"
04-01-2023 15:59:17.848119,"(51.0, 260.0, 147.5)","(26.0, 90.0, 57.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.351111111111112)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 52.0)","(10.0, 13.0, 12.48)","(81.0, 220.0, 139.23076923076923)"
04-01-2023 15:59:19.381445,"(61.0, 260.0, 147.5)","(26.0, 90.0, 68.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.351111111111112)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 34.857142857142854)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 53.0)","(10.0, 13.0, 12.48)","(81.0, 210.0, 139.23076923076923)"
04-01-2023 15:59:20.872624,"(61.0, 260.0, 147.5)","(26.0, 90.0, 68.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.518518518518518)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 36.0)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 13.0, 12.45)","(81.0, 210.0, 182.5)"
04-01-2023 15:59:22.438247,"(61.0, 260.0, 147.5)","(26.0, 90.0, 68.0)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.6, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 35.53846153846154)","(26.0, 40.0, 36.0)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 12.5, 12.45)","(81.0, 200.0, 142.5)"
04-01-2023 15:59:23.956212,"(61.0, 260.0, 147.5)","(26.0, 90.0, 60.625)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 42.0, 37.5)","(26.0, 40.0, 36.0)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 12.5, 12.45)","(81.0, 180.0, 148.125)"
04-01-2023 15:59:25.464128,"(61.0, 260.0, 147.5)","(26.0, 85.0, 66.4)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 33.75)","(26.0, 40.0, 36.0)","(6.0, 7.6, 7.3)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 13.0, 12.409090909090908)","(81.0, 180.0, 148.125)"
04-01-2023 15:59:26.972010,"(61.0, 260.0, 147.5)","(26.0, 80.0, 66.4)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 31.666666666666668)","(26.0, 40.0, 36.0)","(6.0, 7.6, 7.290909090909091)","(8.0, 9.0, 8.714285714285714)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 13.0, 12.409090909090908)","(81.0, 180.0, 148.125)"
04-01-2023 15:59:28.514150,"(61.0, 260.0, 147.5)","(26.0, 80.0, 66.4)","(6.5, 8.4, 8.285714285714286)","(5.5, 6.4, 6.2631578947368425)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 31.666666666666668)","(26.0, 40.0, 36.0)","(6.0, 7.4, 7.290909090909091)","(8.0, 9.0, 8.73913043478261)","(4.4, 5.6, 5.5)","(31.0, 60.0, 55.07692307692308)","(10.0, 13.0, 12.409090909090908)","(81.0, 180.0, 148.125)"
