,Minsk Moment,Samizdat,Buzzoom,The Spruiker,Bruce Almighty,Dig Deep,Flying Missile,Media Baron
07-01-2023 18:40:32.785818,"(2.3, 2.4, 2.391764705882353)","(16.0, 22.0, 21.037037037037038)","(3.6, 4.9, 4.754838709677419)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 19.0, 18.74468085106383)","(7.5, 9.2, 9.021768707482993)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:33.870429,"(2.3, 2.4, 2.391764705882353)","(16.0, 22.0, 21.037037037037038)","(3.6, 4.8, 4.754838709677419)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 19.0, 18.74468085106383)","(7.5, 9.2, 9.021768707482993)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:35.131591,"(2.3, 2.4, 2.391764705882353)","(16.0, 22.0, 21.037037037037038)","(3.6, 4.9, 4.761818181818182)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 19.0, 18.67)","(7.5, 9.2, 9.021768707482993)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:36.286929,"(2.3, 2.4, 2.391764705882353)","(16.0, 22.0, 21.037037037037038)","(3.6, 4.9, 4.761818181818182)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 19.0, 18.38372093023256)","(7.5, 9.2, 9.021768707482993)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:37.332380,"(2.3, 2.4, 2.3902803738317755)","(16.0, 22.0, 21.037037037037038)","(3.6, 4.9, 4.761818181818182)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 18.5, 18.38372093023256)","(7.5, 9.2, 9.02987012987013)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:38.408043,"(2.3, 2.42, 2.3868571428571426)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 18.5, 18.404761904761905)","(7.5, 9.2, 9.005925925925926)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:39.423138,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.4)","(12.0, 18.5, 18.404761904761905)","(7.5, 9.2, 9.005925925925926)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:40.458503,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.5, 18.404761904761905)","(7.5, 9.2, 9.005925925925926)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:41.521013,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.5, 18.404761904761905)","(7.5, 9.2, 9.005925925925926)","(31.0, 110.0, 107.0)"
07-01-2023 18:40:42.921953,"(2.3, 2.42, 2.4012903225806452)","(16.0, 22.0, 20.63157894736842)","(3.6, 4.9, 4.775409836065574)","(6.5, 8.4, 8.25263157894737)","(17.0, 34.0, 32.125)","(12.0, 18.5, 17.90625)","(7.5, 9.2, 9.004477611940299)","(31.0, 110.0, 107.0)"
