,Jabali,Magic Sign,Henry Maguire,Better Fly,Robyns Shadow,Cool Idea,Paradise Valley,Durrant,Ngaroma,Haley Robyn,Sagwitch
14-12-2022 13:41:25.708286,"(41.0, 310.0, 213.33333333333334)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.8, 6.885714285714285)","(3.2, 4.1, 4.125)","(5.0, 6.2, 6.0600000000000005)","(61.0, 99999, 390.0)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 216.66666666666666)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.5, 16.5)"
14-12-2022 13:41:27.633110,"(41.0, 300.0, 213.33333333333334)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.6, 7.2)","(3.2, 4.2, 3.966666666666667)","(5.0, 6.2, 6.0600000000000005)","(61.0, 500.0, 390.0)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 216.66666666666666)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.5, 16.5)"
14-12-2022 13:41:29.455246,"(41.0, 300.0, 213.33333333333334)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.4, 7.2)","(3.2, 4.0, 3.966666666666667)","(5.0, 6.2, 5.949999999999999)","(61.0, 500.0, 390.0)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 216.66666666666666)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.5, 16.5)"
14-12-2022 13:41:31.128342,"(41.0, 300.0, 213.33333333333334)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.4, 6.866666666666666)","(3.2, 4.0, 3.972)","(5.0, 6.8, 5.769230769230769)","(61.0, 500.0, 402.2222222222222)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 216.66666666666666)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.5, 16.25)"
14-12-2022 13:41:32.789593,"(41.0, 300.0, 213.33333333333334)","(3.2, 3.45, 3.4055555555555554)","(6.0, 8.2, 6.866666666666666)","(3.2, 4.0, 3.9333333333333336)","(5.0, 6.2, 5.640000000000001)","(61.0, 500.0, 402.2222222222222)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 216.66666666666666)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.0, 15.375)"
14-12-2022 13:41:34.477506,"(41.0, 300.0, 213.33333333333334)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.2, 7.0)","(3.2, 4.0, 3.7714285714285714)","(5.0, 6.2, 5.84)","(61.0, 500.0, 402.2222222222222)","(21.0, 110.0, 87.71428571428571)","(41.0, 290.0, 166.0)","(51.0, 540.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.0, 15.375)"
14-12-2022 13:41:36.182074,"(41.0, 300.0, 145.2)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.2, 7.574999999999999)","(3.2, 3.8, 3.9147058823529415)","(5.0, 6.0, 5.885714285714286)","(61.0, 500.0, 239.0)","(21.0, 110.0, 72.0)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.0, 15.375)"
14-12-2022 13:41:37.840502,"(41.0, 300.0, 145.2)","(3.2, 3.45, 3.402941176470588)","(6.0, 9.2, 7.7)","(3.2, 3.95, 3.8590909090909093)","(5.0, 6.0, 5.6)","(61.0, 500.0, 239.0)","(21.0, 110.0, 72.0)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.0, 15.375)"
14-12-2022 13:41:39.467892,"(41.0, 300.0, 145.2)","(3.2, 3.45, 3.402941176470588)","(6.0, 8.8, 8.0)","(3.2, 3.95, 3.742857142857143)","(5.0, 5.9, 5.728571428571429)","(61.0, 500.0, 239.0)","(21.0, 110.0, 84.66666666666666)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.333333333333332)","(12.0, 18.0, 15.357142857142858)"
14-12-2022 13:41:41.201508,"(41.0, 300.0, 145.2)","(3.2, 3.45, 3.4055555555555554)","(6.0, 8.6, 8.054545454545455)","(3.2, 3.8, 3.57)","(5.0, 5.9, 5.728571428571429)","(61.0, 500.0, 239.0)","(21.0, 110.0, 84.66666666666666)","(41.0, 290.0, 141.2)","(51.0, 550.0, 302.5)","(11.0, 27.0, 17.666666666666668)","(12.0, 17.5, 15.357142857142858)"
