,Perfect Flossy,Trickster Cabang,Found A Spot,Irenes A Star,Coconut Kingston,Miss Belle,Con Cabang
11-01-2023 15:01:09.176046,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:10.322712,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:11.429660,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:12.569549,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:13.678781,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:14.766722,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:15.940383,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:17.073942,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:18.169583,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:19.293979,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.7)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:20.463756,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.3448275862069)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:21.666019,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.3448275862069)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:22.762729,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.3448275862069)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:23.915798,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.3448275862069)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:25.082554,"(5.5, 9.6, 7.2)","(14.0, 65.0, 54.3448275862069)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:26.200239,"(5.5, 9.6, 7.2)","(14.0, 55.0, 53.270833333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:27.259137,"(5.5, 9.6, 7.2)","(14.0, 55.0, 53.270833333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
11-01-2023 15:01:28.364319,"(5.5, 9.6, 7.2)","(14.0, 55.0, 53.270833333333336)","(11.0, 25.0, 16.944444444444443)","(3.8, 5.6, 4.327272727272727)","(8.5, 16.0, 13.466666666666667)","(6.0, 11.0, 7.357142857142858)","(2.4, 3.9, 2.6684210526315786)"
