,Z U In My Dreams,Bettabe Swift,Jungle Goddess,Freezer Burn,Wish For Magic,Flat Out Appealing
12,"[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 32, 460460), 31.0, 99999]"
13,"[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 33, 565095), 31.0, 99999]"
14,"[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 34, 660049), 31.0, 99999]"
15,"[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 35, 772732), 31.0, 99999]"
16,"[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 36, 874771), 31.0, 99999]"
17,"[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 37, 971423), 31.0, 99999]"
18,"[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 39, 85082), 31.0, 99999]"
19,"[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 40, 169145), 31.0, 99999]"
20,"[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 41, 281093), 31.0, 99999]"
21,"[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 42, 386715), 31.0, 99999]"
