,Suparazi,I Could Do Better,Oxley Jack,Pocket Change,Twiggy Pop,Kapanku,Rutherford,Star Buyer,Forbidden City
07-12-2022 17:58:05.706969,"(4.6, 5.2, 5.182769230769231)","(71.0, 120.0, 115.2)","(20.0, 28.0, 26.952380952380953)","(3.9, 4.5, 4.471671826625387)","(26.0, 34.0, 32.745098039215684)","(7.5, 9.0, 8.92639405204461)","(12.0, 14.5, 14.320512820512821)","(61.0, 75.0, 71.2)","(2.7, 3.2, 3.1653884964682137)"
07-12-2022 17:58:06.938030,"(4.6, 5.2, 5.166419753086419)","(71.0, 120.0, 115.9090909090909)","(20.0, 27.0, 26.833333333333332)","(3.9, 4.5, 4.464668367346939)","(26.0, 34.0, 32.745098039215684)","(7.5, 9.0, 8.91764705882353)","(12.0, 14.5, 14.37037037037037)","(61.0, 75.0, 70.4)","(2.7, 3.2, 3.1774449877750612)"
07-12-2022 17:58:08.174411,"(4.6, 5.3, 5.219130434782609)","(71.0, 120.0, 116.84210526315789)","(20.0, 27.0, 26.571428571428573)","(3.9, 4.5, 4.420823244552058)","(26.0, 34.0, 32.728813559322035)","(7.5, 9.0, 8.929218106995885)","(12.0, 15.0, 14.63953488372093)","(61.0, 75.0, 66.5625)","(2.7, 3.2, 3.167004048582996)"
07-12-2022 17:58:09.259897,"(4.6, 5.3, 5.220440251572327)","(71.0, 120.0, 116.25)","(20.0, 27.0, 26.541666666666668)","(3.9, 4.5, 4.40860759493671)","(26.0, 34.0, 32.739495798319325)","(7.5, 9.0, 8.927731092436975)","(12.0, 15.0, 14.684684684684685)","(61.0, 75.0, 66.5625)","(2.7, 3.2, 3.167004048582996)"
07-12-2022 17:58:10.382141,"(4.6, 5.3, 5.225478927203065)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.65432098765432)","(3.9, 4.5, 4.4294921875)","(26.0, 34.0, 32.84615384615385)","(7.5, 9.0, 8.929166666666667)","(12.0, 15.0, 14.847222222222221)","(61.0, 70.0, 67.05882352941177)","(2.7, 3.2, 3.175199203187251)"
07-12-2022 17:58:11.545890,"(4.6, 5.3, 5.221730382293763)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.63157894736842)","(3.9, 4.5, 4.405744125326371)","(26.0, 34.0, 32.84615384615385)","(7.5, 9.0, 8.929166666666667)","(12.0, 15.0, 14.867647058823529)","(61.0, 70.0, 66.66666666666667)","(2.7, 3.2, 3.1819060773480663)"
07-12-2022 17:58:12.692865,"(4.6, 5.3, 5.221951219512195)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.63157894736842)","(3.9, 4.5, 4.401712328767124)","(26.0, 34.0, 32.84615384615385)","(7.5, 9.0, 8.922580645161291)","(12.0, 15.0, 14.867647058823529)","(61.0, 70.0, 66.66666666666667)","(2.7, 3.2, 3.191468531468532)"
07-12-2022 17:58:13.871839,"(4.6, 5.3, 5.216981132075472)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.63157894736842)","(3.9, 4.4, 4.3982062780269064)","(26.0, 34.0, 32.916666666666664)","(7.5, 9.0, 8.918446601941747)","(12.0, 15.0, 14.867647058823529)","(51.0, 70.0, 66.45833333333333)","(2.7, 3.2, 3.176575809199319)"
07-12-2022 17:58:15.087684,"(4.6, 5.3, 5.216981132075472)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.63157894736842)","(3.9, 4.4, 4.398226164079823)","(26.0, 34.0, 32.9344262295082)","(7.5, 9.0, 8.918446601941747)","(12.0, 15.0, 14.672413793103448)","(51.0, 70.0, 66.52173913043478)","(2.7, 3.2, 3.176575809199319)"
07-12-2022 17:58:16.312684,"(4.6, 5.3, 5.216981132075472)","(71.0, 120.0, 117.6923076923077)","(20.0, 27.0, 26.471698113207548)","(3.9, 4.4, 4.394570135746607)","(26.0, 34.0, 32.9344262295082)","(7.5, 9.0, 8.918446601941747)","(12.0, 15.0, 14.672413793103448)","(51.0, 75.0, 68.33333333333333)","(2.7, 3.2, 3.1763339070567986)"
