,Machens Ridge,Bears Estate,Catfish,Spirit Of Windsor,Twilight Years,Star Rider
15-12-2022 11:36:56.349523,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.375)","(2.25, 2.36, 2.24)","(3.6, 6.4, 5.6000000000000005)","(9.0, 15.0, 13.25)"
15-12-2022 11:36:57.374719,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.375)","(2.25, 2.36, 2.192)","(3.6, 6.4, 5.6000000000000005)","(9.0, 15.0, 13.25)"
15-12-2022 11:36:58.757139,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.375)","(2.25, 2.36, 2.192)","(3.6, 6.4, 5.6000000000000005)","(9.0, 15.0, 13.071428571428571)"
15-12-2022 11:36:59.675421,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.375)","(2.25, 2.36, 2.192)","(3.6, 6.4, 5.6000000000000005)","(9.0, 15.0, 13.071428571428571)"
15-12-2022 11:37:00.554517,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.375)","(2.25, 2.36, 2.192)","(3.6, 6.4, 5.6000000000000005)","(9.0, 15.0, 13.5)"
15-12-2022 11:37:01.614303,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 8.0)","(2.25, 2.36, 2.25)","(3.6, 6.4, 5.75)","(9.0, 15.0, 13.0)"
15-12-2022 11:37:02.667575,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.666666666666666)","(5.5, 9.2, 7.866666666666666)","(2.25, 2.34, 2.24)","(3.6, 6.4, 5.75)","(9.0, 15.0, 13.0)"
15-12-2022 11:37:03.672042,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 13.4)"
15-12-2022 11:37:04.660380,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 13.666666666666666)"
15-12-2022 11:37:05.658886,"(11.0, 14.5, 13.5)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 13.666666666666666)"
15-12-2022 11:37:06.582531,"(11.0, 14.5, 12.5)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 13.0)"
15-12-2022 11:37:07.567626,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 14.0)"
15-12-2022 11:37:08.594989,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.2)","(2.25, 2.34, 2.24)","(3.6, 6.4, 6.01)","(9.0, 15.0, 14.0)"
15-12-2022 11:37:09.554826,"(11.0, 14.5, 12.0)","(10.0, 14.0, 12.857142857142858)","(5.5, 9.2, 8.3)","(2.25, 2.34, 2.3304761904761904)","(3.6, 6.4, 6.01)","(9.0, 15.0, 14.0)"
