,Barroom Blitz,Sarie Marais,Dont Yoube Naughty,Artful Master,Torque Writer,Yarramans Shadow,Destiny Blues,Reeds Vision,Diego Delgado
15-12-2022 13:05:40.852353,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.66, 2.4240000000000004)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:42.066259,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.64, 2.4240000000000004)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:43.235972,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.64, 2.4240000000000004)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:44.534095,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.64, 2.4240000000000004)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:45.762062,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.64, 2.4240000000000004)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:47.039970,"(10.0, 13.0, 10.942857142857143)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.05, 2.6)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.64, 2.3836363636363638)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:48.301215,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3927272727272726)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:49.553327,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3927272727272726)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:50.823306,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.3927272727272726)","(26.0, 55.0, 35.0)"
15-12-2022 13:05:52.136242,"(10.0, 12.5, 10.700000000000001)","(21.0, 44.0, 30.0)","(101.0, 260.0, 230.83333333333334)","(2.2, 3.0, 2.585714285714286)","(61.0, 240.0, 152.5)","(101.0, 280.0, 245.83333333333331)","(16.0, 32.0, 24.75)","(1.8, 2.62, 2.395)","(26.0, 55.0, 35.0)"
