,Star Of The Bay,Adda My Mind,Ashima,Moonlightsshadow,Ark Of Rock,Batavia Storm,American Rock,Mal Boy,Shakira Blue
07-12-2022 14:07:47.389627,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.8, 5.14)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:48.926582,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:50.375355,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:51.710004,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:53.106890,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:54.543074,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:55.996514,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:57.483626,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:07:58.852815,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:00.323778,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.090909090909091)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:01.655146,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.4, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:03.096825,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:04.406307,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
07-12-2022 14:08:05.829608,"(13.0, 22.0, 19.375)","(3.3, 4.9, 4.333333333333334)","(17.0, 27.0, 20.25)","(91.0, 360.0, 226.66666666666669)","(10.0, 15.0, 14.456)","(4.0, 6.2, 5.5600000000000005)","(19.0, 32.0, 23.333333333333332)","(91.0, 340.0, 262.85714285714283)","(2.25, 3.55, 2.9833333333333334)"
