,Extreme Harriet,Nitrogen Outlaw,Ninja Whinger,Little Purpose,Aston Garner,Magic Poppet,Spring Bonnie,Its Your Shout
0,"[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 469038), 10.0, 22.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 662508), 10.0, 22.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 806579), 10.0, 22.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 950423), 10.0, 22.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 82707), 10.0, 22.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 29, 229394), 10.0, 22.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 367391), 10.0, 22.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 535254), 10.0, 22.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 696492), 10.0, 22.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 8.5, 19.5]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 1.9, 2.3]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 835344), 10.0, 22.0]"
