,Heza Galvinator,As She Says,Ghost Train,Jakki Mun,Melton Xmas Girl,Hollywoodbound,Ash And Jo,Swift Change,Shesherz
11-01-2023 20:09:39.264362,"(8.5, 13.0, 12.307692307692308)","(3.0, 3.8, 3.6166666666666667)","(16.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(4.0, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:40.738534,"(8.5, 13.0, 12.307692307692308)","(3.0, 3.8, 3.6166666666666667)","(16.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(4.0, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:42.175188,"(8.5, 13.0, 10.45)","(3.0, 3.8, 3.6166666666666667)","(16.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(4.0, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:43.601992,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(16.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:45.019424,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:46.430466,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:47.820635,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:49.175457,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:50.531718,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
11-01-2023 20:09:51.921738,"(8.5, 13.0, 10.025)","(3.0, 3.8, 3.6166666666666667)","(20.0, 32.0, 21.285714285714285)","(2.3, 3.2, 2.98)","(101.0, 520.0, 205.0)","(13.0, 19.0, 16.25)","(3.9, 5.1, 4.881818181818182)","(101.0, 430.0, 296.6666666666667)","(101.0, 170.0, 147.14285714285714)"
