,Slingshot Queen,Lily The Thief,Nyali King,Mighty Water Boy,Edge Of Darkness,Talk Out Loud,Blackpool Dozer,Ferocious June
11-01-2023 18:02:07.248546,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:08.748018,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:10.086159,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:11.575843,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:13.082220,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:14.684205,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:16.488200,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.2)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:18.324675,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:19.720481,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:20.954486,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.963636363636365)"
11-01-2023 18:02:22.346934,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.5, 14.6)"
11-01-2023 18:02:23.657556,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:25.122606,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:26.523952,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:27.838827,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:29.111468,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:30.386580,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:31.701734,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:33.094374,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:34.471628,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:35.854535,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:37.182912,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
11-01-2023 18:02:38.440362,"(5.0, 9.4, 8.015384615384615)","(81.0, 580.0, 505.0)","(2.45, 4.4, 3.380677966101695)","(3.4, 5.0, 4.433333333333334)","(91.0, 99999, 99990)","(5.0, 8.8, 6.934782608695652)","(12.0, 27.0, 23.8)","(8.5, 17.0, 14.6)"
