,Cherokee Castle,True Flirt,Nordic Dancer,Crafty Windsor Cat,Siente La Brisa
12-01-2023 11:04:19.770294,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:20.737216,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:21.686527,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:22.793469,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:23.954813,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:25.023597,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:25.900652,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:26.920078,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:27.978819,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:04:28.984106,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
