,Angry Angie,Dam Slipperier,Nothing Matters,Blue Haze,Titanium Gunn,Nana Rooney
12,"[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 5.5, 8.6]"
13,"[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 26, 631009), 5.5, 8.6]"
14,"[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 27, 750336), 5.5, 8.6]"
15,"[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 28, 865161), 5.5, 8.6]"
16,"[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 29, 988063), 5.5, 8.6]"
17,"[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 31, 97392), 5.5, 8.6]"
18,"[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 32, 205471), 5.5, 8.6]"
19,"[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 33, 307906), 5.5, 8.6]"
20,"[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 34, 405587), 5.5, 8.6]"
21,"[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 35, 510813), 5.5, 8.6]"
