,Six Pack Nugget,Denarau Delight,Homebush Tessa,Lonely Toni,Goldstar Harper,Champagne,Bahama Mama,Homebush Cardi
16-12-2022 09:51:45.089649,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:46.848923,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:48.125304,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:49.150659,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:50.149831,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 4.011764705882353)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:51.163792,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:52.234205,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:53.287298,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:54.322193,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:55.413890,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
