,Friar Away,Chiclett,Stylax,Vevinsky,Emerald Trader,Honorfic,Kerman Rock,Tell Nothin,Belafonte Boy,My Fair Balentine,Paigeys Turn,Patchwork
07-01-2023 19:19:47.188340,"(19.0, 28.0, 26.32)","(16.0, 19.0, 19.333333333333332)","(5.0, 6.6, 6.516666666666667)","(6.5, 8.6, 8.22857142857143)","(5.0, 7.0, 6.6811594202898545)","(16.0, 17.0, 17.3)","(5.0, 6.4, 6.228169014084507)","(10.0, 13.5, 13.588235294117647)","(61.0, 110.0, 100.0)","(31.0, 80.0, 69.44444444444444)","(13.0, 15.5, 15.291666666666666)","(7.5, 8.4, 8.123076923076923)"
07-01-2023 19:19:48.733061,"(19.0, 28.0, 26.32)","(16.0, 20.0, 19.333333333333332)","(5.0, 6.6, 6.516666666666667)","(6.5, 8.4, 8.22857142857143)","(5.0, 7.0, 6.678832116788321)","(16.0, 17.5, 17.891304347826086)","(5.0, 6.4, 6.228169014084507)","(10.0, 14.0, 13.363636363636363)","(61.0, 110.0, 100.0)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.291666666666666)","(7.5, 8.4, 8.123076923076923)"
07-01-2023 19:19:50.121309,"(19.0, 28.0, 26.32)","(16.0, 20.0, 19.333333333333332)","(5.0, 6.6, 6.516666666666667)","(6.5, 8.4, 8.22857142857143)","(5.0, 7.0, 6.678832116788321)","(16.0, 18.0, 17.891304347826086)","(5.0, 6.4, 6.228169014084507)","(10.0, 14.0, 13.363636363636363)","(61.0, 110.0, 100.0)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.291666666666666)","(7.5, 8.4, 8.123076923076923)"
07-01-2023 19:19:51.529365,"(19.0, 28.0, 26.375)","(16.0, 20.0, 19.333333333333332)","(5.0, 6.6, 6.516666666666667)","(6.5, 8.4, 8.22857142857143)","(5.0, 7.0, 6.678832116788321)","(16.0, 18.0, 17.891304347826086)","(5.0, 6.4, 6.228169014084507)","(10.0, 14.0, 13.363636363636363)","(61.0, 110.0, 100.0)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.068181818181818)","(7.5, 8.4, 8.123076923076923)"
07-01-2023 19:19:52.999046,"(19.0, 28.0, 26.375)","(16.0, 20.0, 19.333333333333332)","(5.0, 6.6, 6.588679245283019)","(6.5, 8.4, 8.22857142857143)","(5.0, 7.0, 6.674074074074074)","(16.0, 18.5, 17.98051948051948)","(5.0, 6.4, 6.2086274509803925)","(10.0, 14.0, 13.363636363636363)","(61.0, 110.0, 100.0)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.2625)","(7.5, 8.4, 8.123076923076923)"
07-01-2023 19:19:54.361604,"(19.0, 28.0, 26.375)","(16.0, 20.0, 19.333333333333332)","(5.0, 6.8, 6.439092495636999)","(6.5, 8.4, 8.22857142857143)","(5.0, 7.0, 6.674074074074074)","(16.0, 18.5, 17.98051948051948)","(5.0, 6.4, 6.207114624505929)","(10.0, 14.0, 13.25)","(61.0, 110.0, 100.0)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.2625)","(7.5, 8.4, 7.909090909090909)"
07-01-2023 19:19:55.806129,"(19.0, 28.0, 26.375)","(16.0, 20.0, 19.5)","(5.0, 6.8, 6.6221070811744385)","(6.5, 8.4, 8.236363636363636)","(5.0, 6.8, 6.660240963855421)","(16.0, 18.5, 17.648936170212767)","(5.0, 6.4, 6.207114624505929)","(10.0, 14.0, 13.4)","(61.0, 110.0, 105.45454545454545)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.2625)","(7.5, 8.2, 7.909090909090909)"
07-01-2023 19:19:57.300659,"(19.0, 28.0, 26.375)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.6221070811744385)","(6.5, 8.4, 8.236363636363636)","(5.0, 6.8, 6.660240963855421)","(16.0, 18.5, 17.648936170212767)","(5.0, 6.4, 6.207114624505929)","(10.0, 14.0, 13.4)","(61.0, 110.0, 105.45454545454545)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.2625)","(7.5, 8.2, 7.984615384615384)"
07-01-2023 19:19:58.819300,"(19.0, 28.0, 26.555555555555557)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.623024054982817)","(6.5, 8.4, 8.256)","(5.0, 6.8, 6.666666666666666)","(16.0, 18.5, 17.648936170212767)","(5.0, 6.4, 6.2063492063492065)","(10.0, 14.0, 13.454545454545455)","(61.0, 110.0, 105.45454545454545)","(31.0, 75.0, 69.44444444444444)","(13.0, 15.5, 15.228571428571428)","(7.5, 8.2, 7.786666666666666)"
07-01-2023 19:20:00.507159,"(19.0, 28.0, 26.555555555555557)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.623024054982817)","(6.5, 8.4, 8.236363636363636)","(5.0, 6.8, 6.660240963855421)","(16.0, 18.5, 17.648936170212767)","(5.0, 6.4, 6.214448669201521)","(10.0, 14.0, 13.428571428571429)","(61.0, 110.0, 105.45454545454545)","(31.0, 75.0, 65.55555555555556)","(13.0, 15.5, 15.273809523809524)","(7.5, 7.8, 8.125)"
07-01-2023 19:20:02.163485,"(19.0, 28.0, 25.88235294117647)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.6219081272084805)","(6.5, 8.4, 8.275862068965518)","(5.0, 6.8, 6.575757575757575)","(16.0, 18.5, 17.547619047619047)","(5.0, 6.4, 6.214448669201521)","(10.0, 14.0, 13.538461538461538)","(61.0, 110.0, 105.45454545454545)","(31.0, 70.0, 66.0)","(13.0, 15.5, 15.273809523809524)","(7.5, 8.2, 8.0)"
07-01-2023 19:20:03.783633,"(19.0, 28.0, 25.88235294117647)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.6219081272084805)","(6.5, 8.4, 8.236363636363636)","(5.0, 6.6, 6.701538461538462)","(16.0, 18.5, 17.666666666666668)","(5.0, 6.4, 6.214448669201521)","(10.0, 14.0, 13.428571428571429)","(61.0, 110.0, 96.66666666666667)","(31.0, 70.0, 63.333333333333336)","(13.0, 15.5, 15.273809523809524)","(7.5, 8.2, 8.125)"
07-01-2023 19:20:05.262514,"(19.0, 28.0, 25.88235294117647)","(16.0, 20.0, 19.59090909090909)","(5.0, 6.8, 6.6219081272084805)","(6.5, 8.4, 8.236363636363636)","(5.0, 6.8, 6.701538461538462)","(16.0, 18.0, 17.666666666666668)","(5.0, 6.4, 6.214448669201521)","(10.0, 14.0, 13.428571428571429)","(61.0, 110.0, 96.66666666666667)","(31.0, 70.0, 63.333333333333336)","(13.0, 15.5, 15.273809523809524)","(7.5, 8.2, 8.125)"
07-01-2023 19:20:06.893728,"(19.0, 28.0, 26.615384615384617)","(17.0, 20.0, 19.931818181818183)","(5.0, 6.8, 6.642926829268292)","(6.5, 8.4, 8.377777777777778)","(5.0, 6.8, 6.696774193548387)","(16.0, 18.0, 17.833333333333332)","(5.0, 6.4, 6.221897810218978)","(10.0, 14.0, 13.586206896551724)","(61.0, 110.0, 102.0)","(31.0, 70.0, 62.5)","(13.0, 15.5, 15.324074074074074)","(7.5, 8.2, 8.083333333333332)"
07-01-2023 19:20:08.378133,"(19.0, 28.0, 26.615384615384617)","(17.0, 20.0, 19.931818181818183)","(5.0, 6.8, 6.642926829268292)","(6.5, 8.4, 8.377777777777778)","(5.0, 6.8, 6.696774193548387)","(16.0, 18.0, 17.833333333333332)","(5.0, 6.4, 6.221897810218978)","(10.0, 14.0, 13.586206896551724)","(61.0, 110.0, 102.0)","(31.0, 70.0, 62.5)","(13.0, 15.5, 15.324074074074074)","(7.5, 8.2, 8.083333333333332)"
07-01-2023 19:20:09.746532,"(19.0, 28.0, 26.615384615384617)","(17.0, 20.0, 19.931818181818183)","(5.0, 6.8, 6.642926829268292)","(6.5, 8.4, 8.377777777777778)","(5.0, 6.8, 6.696774193548387)","(16.0, 18.0, 17.833333333333332)","(5.0, 6.4, 6.221897810218978)","(10.0, 14.0, 13.586206896551724)","(61.0, 110.0, 102.0)","(31.0, 70.0, 62.5)","(13.0, 15.5, 15.306122448979592)","(7.5, 8.2, 8.112499999999999)"
07-01-2023 19:20:11.088758,"(19.0, 28.0, 26.615384615384617)","(17.0, 20.0, 19.931818181818183)","(5.0, 6.8, 6.642926829268292)","(6.5, 8.4, 8.377777777777778)","(5.0, 6.8, 6.698412698412699)","(16.0, 18.0, 17.833333333333332)","(5.0, 6.4, 6.220143884892087)","(10.0, 14.0, 13.6)","(61.0, 110.0, 105.0)","(31.0, 70.0, 62.5)","(13.0, 15.5, 15.306122448979592)","(7.5, 8.2, 8.115151515151515)"
