,Zoutons,Jaazeb,Cork Harbour,Devils Rain,Huntley Lady,Lil Piper,Syncretism,Miss Miduki,Opal Beach,Isa Secret,Tea Rav
07-01-2023 16:29:01.186274,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 8.955555555555556)","(17.0, 28.0, 23.0)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.15, 3.0571428571428574)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:02.492344,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 8.955555555555556)","(17.0, 27.0, 23.0)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.1, 3.0571428571428574)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:03.775055,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 23.0)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.1, 3.0571428571428574)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:05.049372,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.1, 3.0571428571428574)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:06.406434,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.1, 3.0571428571428574)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:07.933479,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 39.42857142857143)","(2.6, 3.15, 3.075)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 9.314285714285715)","(4.2, 4.7, 4.6866666666666665)","(31.0, 130.0, 88.0)","(41.0, 220.0, 205.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:09.497474,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 33.5)","(2.6, 3.15, 3.1062499999999997)","(19.0, 25.0, 22.647058823529413)","(6.0, 9.6, 8.98)","(4.2, 4.7, 4.688888888888889)","(31.0, 130.0, 102.0)","(41.0, 220.0, 140.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:10.822098,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 33.5)","(2.6, 3.15, 3.1062499999999997)","(19.0, 25.0, 22.272727272727273)","(6.0, 9.4, 8.98)","(4.2, 4.7, 4.688888888888889)","(31.0, 130.0, 102.0)","(41.0, 220.0, 140.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:12.216606,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 33.5)","(2.6, 3.15, 3.1062499999999997)","(19.0, 25.0, 22.272727272727273)","(6.0, 9.4, 8.98)","(4.2, 4.7, 4.688888888888889)","(31.0, 130.0, 102.0)","(41.0, 220.0, 140.0)","(101.0, 160.0, 128.0)"
07-01-2023 16:29:13.632180,"(8.5, 13.0, 11.714285714285714)","(8.0, 9.4, 9.181818181818182)","(17.0, 27.0, 22.76923076923077)","(21.0, 42.0, 33.5)","(2.6, 3.15, 3.0928571428571425)","(19.0, 25.0, 22.272727272727273)","(6.0, 9.4, 8.98)","(4.2, 4.7, 4.688888888888889)","(31.0, 130.0, 102.0)","(41.0, 220.0, 140.0)","(101.0, 160.0, 131.42857142857142)"
