,Lil Toughman,Fit But Fat,Eisele,Rey O Reyes,Rayo Negro,Johnny Swish,Salty J J,Henry Standingbear,Skip The Bull
16-12-2022 11:46:07.293689,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.490909090909091)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.184615384615385)","(16.0, 27.0, 25.333333333333332)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.0)","(31.0, 250.0, 152.5)","(20.0, 34.0, 33.27272727272727)"
16-12-2022 11:46:08.540927,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.490909090909091)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.1775)","(16.0, 25.0, 23.333333333333332)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.333333333333332)","(31.0, 250.0, 152.5)","(20.0, 34.0, 33.27272727272727)"
16-12-2022 11:46:09.708166,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.142307692307693)","(16.0, 24.0, 23.333333333333332)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.333333333333332)","(31.0, 250.0, 152.5)","(20.0, 34.0, 33.27272727272727)"
16-12-2022 11:46:10.823297,"(17.0, 26.0, 24.5)","(5.0, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.142307692307693)","(16.0, 24.0, 23.333333333333332)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.333333333333332)","(31.0, 250.0, 152.5)","(20.0, 34.0, 33.27272727272727)"
16-12-2022 11:46:11.965668,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.492)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.142307692307693)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 24.0)","(31.0, 250.0, 152.5)","(20.0, 34.0, 28.4)"
16-12-2022 11:46:13.096799,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.492)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 28.588235294117645)","(31.0, 250.0, 152.5)","(20.0, 34.0, 32.4)"
16-12-2022 11:46:14.239964,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.570967741935484)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.666666666666668)","(31.0, 250.0, 152.5)","(20.0, 34.0, 32.4)"
16-12-2022 11:46:15.371130,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.570967741935484)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.666666666666668)","(31.0, 250.0, 152.5)","(20.0, 34.0, 32.4)"
16-12-2022 11:46:16.555258,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.570967741935484)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.3, 5.176923076923076)","(20.0, 30.0, 27.666666666666668)","(31.0, 250.0, 152.5)","(20.0, 34.0, 32.4)"
16-12-2022 11:46:17.799855,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.552631578947368)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.433333333333333)","(20.0, 30.0, 26.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.4)"
16-12-2022 11:46:19.077214,"(17.0, 27.0, 23.19047619047619)","(5.0, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.525)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.507692307692308)","(20.0, 30.0, 26.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 31.333333333333332)"
16-12-2022 11:46:20.359211,"(17.0, 26.0, 24.5)","(5.0, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.525)","(3.4, 4.2, 4.10625)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.507692307692308)","(20.0, 30.0, 26.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 31.333333333333332)"
16-12-2022 11:46:21.547707,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.492)","(3.9, 4.7, 4.525)","(3.4, 4.2, 4.0875)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.507692307692308)","(20.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:22.754057,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.492)","(3.9, 4.7, 4.548648648648649)","(3.4, 4.2, 4.0875)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.507692307692308)","(20.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:23.900534,"(17.0, 26.0, 23.333333333333332)","(5.0, 5.9, 5.570967741935484)","(3.9, 4.7, 4.574626865671642)","(3.4, 4.2, 4.0875)","(16.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.507692307692308)","(20.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:25.141079,"(17.0, 26.0, 23.333333333333332)","(4.6, 5.9, 5.570967741935484)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.0875)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 31.53846153846154)"
16-12-2022 11:46:26.358193,"(17.0, 26.0, 23.333333333333332)","(4.6, 5.9, 5.570967741935484)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:27.510662,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:28.689971,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:29.898610,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.375)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:31.112502,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.4526315789473685)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.545454545454547)","(31.0, 250.0, 133.0)","(20.0, 34.0, 28.4)"
16-12-2022 11:46:32.230680,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.545454545454547)","(31.0, 250.0, 133.0)","(20.0, 34.0, 28.4)"
16-12-2022 11:46:33.376119,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 28.384615384615383)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:34.537517,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 3.988235294117647)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:35.617431,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
