,Glitzy All Over,Fomo,Coco Beach,Martha Lavinia,Mista Pumblechook,Gotonebettor,Lilbitahenrytee,Mods,Pinkie Promise,Only In Rome Nz
0,"[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 3.8, 4.5]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 1.65, 1.84]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 41.0, 55.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 41.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 11167), 16.0, 99999]"
1,"[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 15.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 1.65, 1.86]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 41.0, 55.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 51.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 101.0, 210.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 289227), 16.0, 99999]"
2,"[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 15.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 1.65, 1.86]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 41.0, 55.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 665722), 16.0, 99999]"
3,"[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 1.6, 1.86]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 61.0, 150.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 41, 937094), 16.0, 99999]"
4,"[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 1.6, 1.87]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 61.0, 150.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 226722), 16.0, 99999]"
5,"[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 1.6, 1.88]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 61.0, 140.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 485187), 16.0, 99999]"
6,"[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 3.8, 4.4]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 1.6, 1.87]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 731408), 16.0, 99999]"
7,"[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 3.8, 4.3]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 1.6, 1.87]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 968766), 16.0, 99999]"
8,"[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 3.8, 4.3]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 1.6, 1.86]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 244590), 16.0, 99999]"
9,"[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 17.0, 28.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 3.8, 4.3]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 1.6, 1.86]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 26.0, 50.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 41.0, 90.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 101.0, 220.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 533491), 16.0, 99999]"
