,Targan Bale,Ibrox Cooper,Slingshot Flare,Luxuriate,Who Told John,Chasing Jimmy,Inga Leah,Liberty Pop
12-01-2023 17:20:43.093271,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 25.22222222222222)","(17.0, 42.0, 27.0)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:44.194739,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 25.22222222222222)","(17.0, 42.0, 27.0)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:45.266227,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 25.22222222222222)","(17.0, 42.0, 27.0)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:46.308549,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 13.65)","(16.0, 38.0, 25.22222222222222)","(17.0, 42.0, 27.0)","(26.0, 230.0, 84.28571428571428)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:47.413821,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:48.545674,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:49.688544,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:50.841443,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:51.911145,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
12-01-2023 17:20:53.006655,"(2.15, 3.2, 2.241777777777778)","(5.0, 8.8, 5.94)","(4.4, 7.4, 5.066666666666667)","(9.0, 18.5, 12.53076923076923)","(16.0, 38.0, 26.5)","(17.0, 42.0, 30.75)","(26.0, 230.0, 113.42857142857143)","(6.5, 10.5, 6.63)"
