,Aramco,Fighting Force,Statesmanship,Albanian Bay,Dynamic Deel,Italian Award,Kenrick Road,Shark Island,Diamanda,Jenni Lartiste,Lottacheex,Sockastar,Brungle Creek,Lucky Hands
16-12-2022 13:40:48.543318,"(4.2, 5.5, 5.405882352941177)","(51.0, 100.0, 92.5)","(17.0, 34.0, 31.333333333333332)","(61.0, 85.0, 78.33333333333333)","(15.0, 21.0, 19.55)","(26.0, 70.0, 49.42857142857143)","(31.0, 48.0, 44.0)","(11.0, 12.0, 11.444444444444445)","(101.0, 280.0, 261.66666666666663)","(6.0, 7.8, 7.466666666666667)","(2.5, 2.8, 2.7745454545454544)","(26.0, 40.0, 36.666666666666664)","(10.0, 13.0, 12.9375)","(101.0, 570.0, 467.14285714285717)"
16-12-2022 13:40:50.087443,"(4.2, 5.5, 5.405882352941177)","(51.0, 100.0, 92.5)","(17.0, 34.0, 31.333333333333332)","(61.0, 80.0, 78.33333333333333)","(15.0, 21.0, 19.55)","(26.0, 70.0, 48.0)","(31.0, 48.0, 44.0)","(11.0, 12.0, 11.444444444444445)","(101.0, 280.0, 261.66666666666663)","(6.0, 7.8, 7.466666666666667)","(2.5, 2.8, 2.781333333333333)","(26.0, 40.0, 36.666666666666664)","(10.0, 13.0, 12.9375)","(101.0, 570.0, 452.85714285714283)"
16-12-2022 13:40:51.701840,"(4.2, 5.5, 5.423809523809524)","(51.0, 100.0, 93.18181818181819)","(17.0, 34.0, 32.0)","(61.0, 80.0, 79.54545454545455)","(15.0, 21.0, 19.551724137931036)","(26.0, 60.0, 50.5)","(31.0, 48.0, 44.0)","(11.0, 12.0, 11.777777777777779)","(101.0, 280.0, 264.2857142857143)","(6.0, 7.8, 7.523076923076923)","(2.5, 2.8, 2.832)","(26.0, 40.0, 45.2)","(10.0, 13.0, 12.918604651162791)","(101.0, 550.0, 452.85714285714283)"
16-12-2022 13:40:53.262429,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.625)","(17.0, 34.0, 32.0)","(61.0, 85.0, 79.54545454545455)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 48.0)","(31.0, 48.0, 44.0)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 3.0, 2.8365217391304345)","(26.0, 48.0, 45.2)","(10.0, 14.5, 12.918604651162791)","(101.0, 550.0, 330.0)"
16-12-2022 13:40:54.792201,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.625)","(17.0, 34.0, 32.0)","(61.0, 85.0, 79.54545454545455)","(15.0, 21.0, 19.551724137931036)","(26.0, 60.0, 48.0)","(31.0, 48.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.8365217391304345)","(26.0, 48.0, 45.2)","(10.0, 14.5, 13.722222222222221)","(101.0, 550.0, 330.0)"
16-12-2022 13:40:56.345184,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.625)","(17.0, 34.0, 32.0)","(61.0, 85.0, 81.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 60.0, 47.5)","(31.0, 50.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.8365217391304345)","(26.0, 48.0, 37.6)","(10.0, 14.0, 12.772727272727273)","(101.0, 550.0, 330.0)"
16-12-2022 13:40:57.948240,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.0)","(17.0, 34.0, 32.0)","(61.0, 85.0, 81.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 47.5)","(31.0, 50.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.8365217391304345)","(26.0, 40.0, 37.6)","(10.0, 14.0, 12.772727272727273)","(101.0, 540.0, 273.3333333333333)"
16-12-2022 13:40:59.540126,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.0)","(17.0, 34.0, 32.0)","(61.0, 85.0, 81.0)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 47.5)","(31.0, 50.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.8365217391304345)","(26.0, 40.0, 37.6)","(10.0, 14.0, 12.615384615384615)","(101.0, 540.0, 323.3333333333333)"
16-12-2022 13:41:01.068253,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.0)","(17.0, 34.0, 32.0)","(61.0, 85.0, 75.76923076923077)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 47.5)","(31.0, 50.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.8365217391304345)","(26.0, 40.0, 37.6)","(10.0, 14.0, 12.615384615384615)","(101.0, 530.0, 323.3333333333333)"
16-12-2022 13:41:02.561972,"(4.2, 5.5, 5.463636363636364)","(51.0, 100.0, 90.0)","(17.0, 34.0, 32.0)","(61.0, 100.0, 82.14285714285714)","(15.0, 21.0, 19.551724137931036)","(26.0, 55.0, 47.5)","(31.0, 50.0, 42.666666666666664)","(11.0, 12.0, 11.714285714285714)","(101.0, 280.0, 230.0)","(6.0, 7.8, 7.447058823529412)","(2.5, 2.98, 2.7925)","(26.0, 40.0, 38.666666666666664)","(10.0, 14.0, 12.615384615384615)","(101.0, 530.0, 323.3333333333333)"
