,Halloween,Bettor Sport,Kaybee Starzzz,Theultimate,Bettathanapokeindeye Nz,Guy Looks Good,Classie American Nz,Imperious,Kickatinalongpony,Our Modern Minnie
09-01-2023 16:12:40.463022,"(9.0, 10.5, 12.36)","(13.0, 25.0, 22.789473684210527)","(61.0, 85.0, 70.0)","(18.0, 18.0, 15.615384615384615)","(5.5, 99999, 99990)","(4.8, 5.7, 4.82)","(5.5, 99999, 99990)","(12.0, 16.5, 19.75)","(2.9, 3.85, 4.057894736842106)","(26.0, 32.0, 33.631578947368425)"
09-01-2023 16:12:41.816945,"(9.0, 13.0, 12.12)","(13.0, 23.0, 22.789473684210527)","(61.0, 85.0, 70.0)","(18.0, 17.5, 15.615384615384615)","(5.5, 99999, 99990)","(4.8, 5.0, 4.550000000000001)","(5.5, 99999, 99990)","(12.0, 25.0, 18.0)","(2.9, 5.4, 4.29375)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:43.211483,"(9.0, 12.0, 11.0)","(13.0, 23.0, 22.789473684210527)","(61.0, 85.0, 70.0)","(18.0, 17.5, 15.615384615384615)","(5.5, 99999, 99990)","(4.8, 5.0, 4.625)","(5.5, 99999, 99990)","(12.0, 23.0, 16.571428571428573)","(2.9, 5.2, 4.5)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:44.503888,"(9.0, 11.0, 10.294117647058822)","(13.0, 23.0, 22.789473684210527)","(61.0, 85.0, 70.0)","(18.0, 17.5, 16.1)","(5.5, 99999, 99990)","(4.8, 5.0, 4.788235294117647)","(5.5, 99999, 99990)","(12.0, 23.0, 16.571428571428573)","(2.9, 5.0, 4.275)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:45.853499,"(9.0, 10.5, 9.407142857142858)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 17.0, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.83125)","(5.5, 99999, 99990)","(12.0, 23.0, 16.571428571428573)","(2.9, 4.8, 4.0649999999999995)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:47.174294,"(9.0, 10.5, 9.407142857142858)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 16.5, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.914285714285715)","(5.5, 99999, 99990)","(12.0, 23.0, 16.571428571428573)","(2.9, 4.8, 4.471875)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:48.390312,"(9.0, 10.0, 9.666666666666666)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 16.5, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.973684210526316)","(5.5, 99999, 99990)","(12.0, 23.0, 20.5)","(2.9, 4.8, 4.281818181818181)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:49.605422,"(9.0, 10.0, 9.444444444444445)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 16.5, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.973684210526316)","(5.5, 99999, 99990)","(12.0, 22.0, 20.5)","(2.9, 4.8, 4.281818181818181)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:50.947091,"(9.0, 10.0, 9.444444444444445)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 16.5, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.973684210526316)","(5.5, 99999, 99990)","(12.0, 22.0, 20.5)","(2.9, 4.8, 4.281818181818181)","(26.0, 40.0, 34.86666666666667)"
09-01-2023 16:12:52.340368,"(9.0, 10.0, 9.444444444444445)","(13.0, 23.0, 22.789473684210527)","(61.0, 80.0, 59.166666666666664)","(18.0, 16.5, 15.428571428571429)","(5.5, 99999, 99990)","(4.8, 5.0, 4.973684210526316)","(5.5, 99999, 99990)","(12.0, 22.0, 19.25)","(2.9, 4.8, 4.414285714285715)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:12:54.188626,"(9.0, 9.6, 9.3)","(13.0, 27.0, 25.2)","(61.0, 80.0, 61.25)","(18.0, 16.0, 14.970588235294118)","(5.5, 99999, 99990)","(4.8, 5.8, 5.5)","(5.5, 99999, 99990)","(12.0, 22.0, 14.642857142857142)","(2.9, 4.8, 4.414285714285715)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:12:55.942926,"(9.0, 9.6, 9.3)","(13.0, 27.0, 25.2)","(61.0, 80.0, 61.25)","(18.0, 16.0, 14.970588235294118)","(5.5, 99999, 99990)","(4.8, 5.7, 5.5)","(5.5, 99999, 99990)","(12.0, 15.5, 14.75)","(2.9, 4.8, 4.363636363636363)","(26.0, 40.0, 33.583333333333336)"
09-01-2023 16:12:57.557698,"(9.0, 9.6, 9.3)","(13.0, 26.0, 24.5)","(61.0, 75.0, 62.5)","(18.0, 16.0, 14.055555555555555)","(5.5, 99999, 99990)","(4.8, 5.7, 5.4)","(5.5, 99999, 99990)","(12.0, 15.5, 17.5)","(2.9, 4.8, 4.363636363636363)","(26.0, 40.0, 33.583333333333336)"
