,Blue Ruby,Akuna Street,Rustic Bling,Magic Eclipse,Chasing Jess,Yeah The Boy,Buddys Mate,Diablo Bale
06-01-2023 13:54:49.761219,"(5.5, 9.2, 8.08)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 12.5, 9.55)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 6.0)"
06-01-2023 13:54:50.840688,"(5.5, 9.2, 8.08)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 12.5, 7.2555555555555555)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 6.0)"
06-01-2023 13:54:51.909359,"(5.5, 9.2, 8.08)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 6.0)"
06-01-2023 13:54:53.093457,"(5.5, 9.2, 8.08)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 6.0)"
06-01-2023 13:54:54.303748,"(5.5, 9.2, 8.08)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 8.834782608695651)"
06-01-2023 13:54:55.493463,"(5.5, 9.2, 8.0)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 6.16)"
06-01-2023 13:54:56.794678,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:54:58.028551,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:54:59.141645,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:00.387945,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 14.15)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:01.634236,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:02.785338,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:04.016939,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 6.7)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:05.247267,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 8.157142857142858)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
06-01-2023 13:55:06.427877,"(5.5, 9.2, 6.971428571428571)","(4.6, 8.4, 8.15)","(31.0, 190.0, 82.0)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 7.449999999999999)"
