,Hedaresthedevil,Muletrain,Russet Moon,Triple,Johnny Jude,Production Time,Saber Storm,Gray Dane,Smarty Ridge,Bad Decisions
16-12-2022 12:30:48.721263,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 34.0, 36.66666666666667)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.28, 2.2380487804878046)"
16-12-2022 12:30:49.961919,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:51.154497,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:52.329625,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:53.518353,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 30.0)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:54.713868,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 75.0, 36.66666666666667)","(14.0, 17.5, 15.5)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:55.869661,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.9)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:57.060166,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.9)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:58.236622,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.9)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
16-12-2022 12:30:59.420294,"(10.0, 13.5, 12.875)","(9.0, 20.0, 19.428571428571427)","(6.0, 9.8, 8.4)","(21.0, 65.0, 51.5)","(26.0, 95.0, 55.66666666666667)","(8.5, 9.4, 8.84)","(17.0, 80.0, 36.66666666666667)","(14.0, 17.5, 15.9)","(26.0, 330.0, 186.0)","(1.9, 2.26, 2.2380487804878046)"
