,Goldstar Shaggy,Sinha Man,Barber Cubed,Mighty Mccook,Alhambra,Impressive Sonic,Diamond Georgio,Cupids Day
05-01-2023 16:26:27.926009,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:28.963738,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:30.005096,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:31.099792,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:32.163821,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:33.221288,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:34.298608,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:35.402300,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:36.475541,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:37.492358,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:38.497164,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:39.491936,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:40.572545,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:41.655108,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:42.719863,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 122.0)"
05-01-2023 16:26:43.829426,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:44.897060,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:45.940087,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:47.017888,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:48.138929,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:26:49.232130,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 10.7125)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
