,Dinosaurus Rex,Why Not Surf,Our Uncle Harold,Ben Detto,American Shuffle Nz,Weona Sir Vivor,Rainbow Titan,Buddy Rockx,Mittys Three Aces Nz,Modern Power
11-01-2023 17:43:29.832797,"(10.0, 26.0, 21.5)","(14.0, 30.0, 25.772727272727273)","(31.0, 44.0, 40.0)","(41.0, 100.0, 69.0)","(13.0, 99999, 99990)","(5.0, 8.4, 8.370000000000001)","(21.0, 42.0, 34.5)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.77, 1.73)"
11-01-2023 17:43:31.111444,"(10.0, 26.0, 21.5)","(14.0, 30.0, 25.772727272727273)","(31.0, 44.0, 40.0)","(41.0, 100.0, 69.0)","(13.0, 99999, 99990)","(5.0, 8.4, 8.370000000000001)","(21.0, 42.0, 34.5)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.77, 1.5744378698224852)"
11-01-2023 17:43:32.471181,"(10.0, 26.0, 20.25)","(14.0, 30.0, 21.3)","(31.0, 44.0, 40.0)","(41.0, 100.0, 69.0)","(13.0, 99999, 99990)","(5.0, 8.6, 8.507692307692308)","(21.0, 42.0, 34.5)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.6, 1.5897560975609757)"
11-01-2023 17:43:33.635185,"(10.0, 26.0, 22.88888888888889)","(14.0, 30.0, 25.772727272727273)","(31.0, 44.0, 40.0)","(41.0, 100.0, 69.0)","(13.0, 99999, 99990)","(5.0, 8.6, 8.507692307692308)","(21.0, 42.0, 39.75)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.66, 1.5897560975609757)"
11-01-2023 17:43:34.797730,"(10.0, 26.0, 22.0)","(14.0, 30.0, 26.555555555555557)","(31.0, 44.0, 40.0)","(41.0, 100.0, 58.66666666666667)","(13.0, 99999, 99990)","(5.0, 8.6, 8.8)","(21.0, 60.0, 47.111111111111114)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.66, 1.5897560975609757)"
11-01-2023 17:43:36.005839,"(10.0, 26.0, 22.0)","(14.0, 30.0, 26.555555555555557)","(31.0, 44.0, 40.0)","(41.0, 100.0, 58.66666666666667)","(13.0, 99999, 99990)","(5.0, 9.0, 8.8)","(21.0, 55.0, 47.111111111111114)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.66, 1.5897560975609757)"
11-01-2023 17:43:37.258998,"(10.0, 26.0, 22.0)","(14.0, 30.0, 26.555555555555557)","(31.0, 44.0, 40.0)","(41.0, 95.0, 66.5)","(13.0, 99999, 99990)","(5.0, 11.0, 9.9)","(21.0, 55.0, 47.111111111111114)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.5, 1.66, 1.5897560975609757)"
11-01-2023 17:43:38.524479,"(11.0, 26.0, 22.0)","(14.0, 30.0, 26.555555555555557)","(31.0, 44.0, 40.0)","(41.0, 95.0, 66.5)","(13.0, 99999, 99990)","(5.0, 11.0, 9.533333333333333)","(21.0, 55.0, 42.09090909090909)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.55, 1.66, 1.5897560975609757)"
11-01-2023 17:43:39.848835,"(11.0, 26.0, 16.333333333333332)","(14.0, 30.0, 26.555555555555557)","(31.0, 44.0, 40.0)","(41.0, 95.0, 66.5)","(13.0, 99999, 99990)","(5.0, 11.0, 9.533333333333333)","(21.0, 50.0, 41.666666666666664)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.55, 1.66, 1.5897560975609757)"
11-01-2023 17:43:41.107035,"(11.0, 25.0, 16.0)","(14.0, 29.0, 25.77777777777778)","(31.0, 44.0, 40.0)","(41.0, 95.0, 66.5)","(13.0, 99999, 99990)","(5.0, 10.5, 9.85)","(21.0, 48.0, 41.666666666666664)","(21.0, 30.0, 27.0)","(21.0, 99999, 99990)","(1.55, 1.66, 1.5853886010362694)"
