,Raging Romeo,Athabascan,Seeknyoushallfind,Star Armbro,Destined To Rule,Bellezza Nera,Sidstrepo,Heza Head Honcho Nz,Boston Rob,Ultimate Rocker Nz,Tepelo Star
10-01-2023 19:15:49.352641,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3923529411764706)","(31.0, 100.0, 80.0)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.1)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:51.066879,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3923529411764706)","(31.0, 100.0, 80.0)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.1)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:52.728543,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 80.0)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 31.666666666666668)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:54.387566,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 80.0)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:56.273420,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 73.33333333333334)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:58.030542,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 72.3076923076923)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:15:59.804373,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 72.3076923076923)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 167.77777777777777)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:16:01.502336,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3872413793103446)","(31.0, 100.0, 72.3076923076923)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 22.25)","(18.0, 99999, 99990)","(101.0, 190.0, 133.0)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:16:03.295208,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 100.0, 72.3076923076923)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 154.375)","(12.0, 99999, 99990)","(101.0, 220.0, 204.375)"
10-01-2023 19:16:05.068903,"(8.5, 18.5, 16.0)","(1.3, 1.45, 1.3910526315789473)","(31.0, 100.0, 83.57142857142857)","(11.0, 22.0, 19.77777777777778)","(26.0, 44.0, 38.4)","(18.0, 34.0, 33.0)","(15.0, 25.0, 24.214285714285715)","(18.0, 99999, 99990)","(101.0, 190.0, 151.42857142857144)","(12.0, 99999, 99990)","(101.0, 220.0, 160.0)"
