,Cronk,Anikitos,Luckyspeed,Flying Flynn,Kyvalley Helen,Whats The Tea,Antisocial,Maori Muscle,Dona Amalia,Hurricane Jane,Dynamic Star
12-01-2023 17:43:24.254923,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:25.801466,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:27.244937,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:28.709566,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:30.197356,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:31.866535,"(21.0, 50.0, 43.25)","(19.0, 42.0, 26.0)","(16.0, 36.0, 23.0)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 58.75)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.185714285714287)","(26.0, 65.0, 54.75)","(31.0, 75.0, 61.57142857142857)"
12-01-2023 17:43:33.669128,"(21.0, 50.0, 44.42857142857143)","(19.0, 42.0, 26.0)","(16.0, 36.0, 25.25)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 70.0, 59.285714285714285)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.5, 9.316666666666666)","(26.0, 65.0, 54.85714285714286)","(31.0, 75.0, 63.0)"
12-01-2023 17:43:35.388768,"(21.0, 48.0, 44.42857142857143)","(19.0, 42.0, 26.0)","(16.0, 34.0, 25.25)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 65.0, 59.285714285714285)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.0, 9.316666666666666)","(26.0, 60.0, 54.85714285714286)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:37.211484,"(21.0, 48.0, 44.42857142857143)","(19.0, 42.0, 26.0)","(16.0, 34.0, 25.25)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 65.0, 59.285714285714285)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.0, 9.316666666666666)","(26.0, 60.0, 54.85714285714286)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:38.880429,"(21.0, 48.0, 44.42857142857143)","(19.0, 42.0, 26.0)","(16.0, 34.0, 25.25)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 65.0, 59.285714285714285)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.0, 9.316666666666666)","(26.0, 60.0, 54.85714285714286)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:40.551544,"(21.0, 48.0, 44.42857142857143)","(19.0, 42.0, 26.0)","(16.0, 34.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 65.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 10.0, 8.685714285714287)","(26.0, 60.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:42.268593,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:43.911069,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
12-01-2023 17:43:45.635965,"(21.0, 46.0, 40.25)","(19.0, 42.0, 26.0)","(16.0, 32.0, 21.666666666666668)","(15.0, 36.0, 22.0)","(1.75, 2.56, 2.013333333333333)","(26.0, 60.0, 51.25)","(41.0, 100.0, 82.28571428571429)","(4.2, 6.4, 6.279069767441861)","(6.5, 9.8, 8.685714285714287)","(26.0, 55.0, 47.25)","(31.0, 70.0, 63.0)"
