,Haras Rusty,Climb A Rainbow,Earth Shaker,Blue Bertrum,Pollys Express,Billy Nailer,Phantom Jasper,Pollys Courier
08-01-2023 13:38:51.539580,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:52.658601,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:53.820252,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:54.999085,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:56.189341,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:57.342635,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:58.486179,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:38:59.573689,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:00.620138,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
08-01-2023 13:39:01.727318,"(26.0, 90.0, 46.25)","(18.0, 65.0, 55.4)","(1.7, 2.64, 2.129032258064516)","(16.0, 42.0, 27.0)","(12.0, 26.0, 20.214285714285715)","(6.5, 14.5, 11.116666666666667)","(3.2, 5.2, 3.6)","(91.0, 600.0, 158.33333333333331)"
