,Wild Express,Dashyns Dream,Mendis Girl,Marebell,Our Davina,Rye Munny,Watch Out Now,Destron Bay
15-12-2022 12:21:12.872049,"(3.5, 4.8, 4.55)","(6.0, 7.6, 6.904347826086957)","(4.4, 5.7, 5.62)","(16.0, 80.0, 42.0)","(5.5, 7.0, 6.733333333333333)","(8.0, 8.8, 8.244444444444445)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 75.0)"
15-12-2022 12:21:13.823473,"(3.5, 4.8, 4.55)","(6.0, 7.6, 6.904347826086957)","(4.4, 5.7, 5.62)","(16.0, 80.0, 42.0)","(5.5, 7.0, 6.733333333333333)","(8.0, 8.8, 8.244444444444445)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 75.0)"
15-12-2022 12:21:14.853616,"(3.5, 4.8, 4.55)","(6.0, 7.6, 6.904347826086957)","(4.4, 5.7, 5.62)","(17.0, 80.0, 42.0)","(5.5, 7.0, 6.733333333333333)","(8.0, 8.8, 8.244444444444445)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 75.0)"
15-12-2022 12:21:15.826479,"(3.5, 4.8, 4.55)","(6.0, 7.6, 6.904347826086957)","(4.4, 5.7, 5.62)","(17.0, 80.0, 42.0)","(5.5, 7.0, 6.733333333333333)","(8.0, 8.8, 8.244444444444445)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 75.0)"
15-12-2022 12:21:16.826673,"(3.5, 4.8, 4.55)","(6.0, 7.6, 6.904347826086957)","(4.4, 5.7, 5.62)","(17.0, 80.0, 42.0)","(5.5, 7.0, 6.733333333333333)","(8.0, 8.8, 8.244444444444445)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:17.846507,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.7, 5.62)","(17.0, 80.0, 57.2)","(5.5, 7.0, 6.84)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:18.986005,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.7, 5.62)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.822222222222222)","(8.0, 8.6, 7.933333333333334)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:20.040334,"(3.5, 4.8, 4.55)","(6.0, 7.4, 6.859999999999999)","(4.4, 5.7, 5.364)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.822222222222222)","(8.0, 8.4, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:21.172698,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.7, 5.359259259259259)","(17.0, 80.0, 57.599999999999994)","(5.5, 6.8, 6.368)","(8.0, 8.6, 7.933333333333334)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:22.183230,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.7, 5.364)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.822222222222222)","(8.0, 8.4, 7.933333333333334)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 68.0)"
15-12-2022 12:21:23.257411,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.7, 5.364)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.822222222222222)","(8.0, 8.4, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:24.304141,"(3.5, 4.8, 4.55)","(6.0, 7.4, 6.859999999999999)","(4.4, 5.7, 5.364)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.407407407407407)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 70.0)"
15-12-2022 12:21:25.401501,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.68)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:26.512381,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.68)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
15-12-2022 12:21:27.595757,"(3.5, 4.8, 4.55)","(6.0, 7.4, 7.1)","(4.4, 5.8, 5.390909090909091)","(17.0, 80.0, 57.599999999999994)","(5.5, 7.0, 6.68)","(8.0, 8.6, 8.333333333333332)","(7.0, 8.6, 8.399999999999999)","(26.0, 110.0, 62.0)"
