,Tiggerlong Sassy,Hilton Hawk,Golden Avatar,Arch See All,Irish Hope,Nova Star,Our Winnie
10-01-2023 16:38:38.526467,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:39.679895,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:40.853231,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:42.044629,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:43.150758,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:44.328974,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.2, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:45.446972,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:46.525887,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:47.711185,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6374999999999997)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
10-01-2023 16:38:48.898454,"(2.25, 3.5, 3.0625)","(12.0, 25.0, 21.75)","(20.0, 70.0, 35.09090909090909)","(3.5, 5.3, 3.6)","(4.0, 6.2, 5.0)","(12.0, 29.0, 19.833333333333332)","(9.0, 19.5, 17.816666666666666)"
