,Cruising Bellew,Hoppers Dream,Manoeuver Man,Calculating Dancer,Mamma Kass,Midnight Sport,Captain Thunderbolt Nz,Passionate Pursuit,Absolution,My Golden Eagle
12-01-2023 15:24:14.443113,"(91.0, 140.0, 106.66666666666667)","(41.0, 65.0, 57.27272727272727)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.55)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 18.571428571428573)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.285714285714286)"
12-01-2023 15:24:15.754044,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 57.27272727272727)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.55)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 18.571428571428573)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.3)"
12-01-2023 15:24:17.085603,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 57.27272727272727)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.55)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.275)"
12-01-2023 15:24:18.426959,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.55)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.275)"
12-01-2023 15:24:19.703856,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.55)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.275)"
12-01-2023 15:24:20.985174,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.6)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.275)"
12-01-2023 15:24:22.259243,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.65, 3.675)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.6, 4.269230769230769)"
12-01-2023 15:24:23.556574,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.68)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:24.833418,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.68)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:26.134176,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:27.412487,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:28.698787,"(91.0, 130.0, 106.66666666666667)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:29.980313,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:31.322683,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:32.552483,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.6964285714285716)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.269230769230769)"
12-01-2023 15:24:33.816522,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.7596153846153846)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.214285714285714)"
12-01-2023 15:24:35.031579,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.8, 3.7375)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.214285714285714)"
12-01-2023 15:24:36.191298,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.75, 3.7870370370370368)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.214285714285714)"
12-01-2023 15:24:37.414498,"(91.0, 130.0, 110.0)","(41.0, 65.0, 52.5)","(31.0, 50.0, 43.333333333333336)","(2.8, 3.8, 3.7854166666666664)","(11.0, 17.0, 16.375)","(9.0, 12.0, 11.583333333333334)","(21.0, 99999, 99990)","(11.0, 22.0, 19.0)","(3.8, 5.0, 4.85)","(3.8, 4.5, 4.214285714285714)"
