,Not Even Owl,Big Time Taniwha,Big Time Raider,Oscars Reality,Big Time Roman,Allegro Smudge
04-01-2023 10:42:19.027108,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:20.002708,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:20.984405,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:22.001562,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:22.967887,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:23.951744,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:24.915717,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:25.872024,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:26.812848,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
04-01-2023 10:42:27.707603,"(3.5, 9.6, 7.334615384615384)","(10.0, 36.0, 21.0)","(3.7, 9.8, 6.076923076923077)","(26.0, 240.0, 117.22222222222223)","(3.2, 5.2, 4.5175)","(3.6, 10.5, 6.949999999999999)"
