,Butter Up Again,Aces Are Trumps,Aston Dijon,Immense,Deadly Redeemer,Winkler,Elegant Bix,Lagoon Dark Eyes
10-01-2023 12:14:14.089830,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.944827586206898)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:15.370181,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.944827586206898)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:16.663113,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:17.917925,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:19.136652,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:20.394650,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:21.639821,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:22.801775,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:23.970764,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
10-01-2023 12:14:25.112153,"(21.0, 70.0, 41.388888888888886)","(5.0, 10.5, 5.330769230769231)","(5.0, 9.4, 8.785714285714285)","(9.0, 21.0, 10.5)","(3.8, 5.4, 5.119148936170213)","(17.0, 46.0, 30.75)","(3.7, 5.9, 5.443055555555556)","(5.5, 10.5, 5.825)"
