,The Big One,Renato,Trespassing,Altomega,Eye Opener,Scenic Ruler,Supersession,My Top Secret,Rising Commodity,Cherry Bay,Prinsessa Anja,Marmooga
11-01-2023 16:00:56.819365,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:00:58.665033,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:00.532785,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:02.291718,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:04.123895,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:06.077380,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(91.0, 220.0, 137.5)","(17.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 158.57142857142856)","(61.0, 190.0, 113.33333333333334)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:07.944374,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:09.881994,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:11.905132,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.0752941176470587)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:14.024216,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.04)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
11-01-2023 16:01:16.146772,"(7.5, 11.0, 10.266666666666667)","(10.0, 12.0, 11.407407407407407)","(2.6, 3.25, 3.04)","(101.0, 220.0, 137.5)","(18.0, 50.0, 37.0)","(71.0, 200.0, 120.0)","(5.5, 6.4, 6.114285714285715)","(51.0, 190.0, 103.33333333333334)","(71.0, 190.0, 123.33333333333334)","(61.0, 190.0, 116.66666666666666)","(101.0, 160.0, 120.0)","(3.3, 3.95, 3.8851851851851853)"
