,Devon Lass,Hurricane Max,Wagner Bale,Indigo Indy,Hurricane Miami,My Dilemma,California Blond,Captain Cruiser
0,"[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 27, 720002), 5.5, 8.8]"
1,"[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 28, 854356), 5.5, 8.8]"
2,"[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 29, 985614), 5.5, 8.8]"
3,"[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 31, 121626), 5.5, 8.8]"
4,"[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 32, 244621), 5.5, 8.8]"
5,"[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 33, 377456), 5.5, 8.8]"
6,"[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 34, 500678), 5.5, 8.8]"
7,"[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 35, 637942), 5.5, 8.8]"
8,"[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 36, 760266), 5.5, 8.8]"
9,"[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 3.4, 5.5]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 3.7, 3.9]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 4.6, 8.2]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 3.9, 6.8]","[datetime.datetime(2022, 11, 28, 14, 48, 37, 891697), 5.5, 8.8]"
