,Triumph,Electra Glide,Jagger Bale,Lala Reindeer,Reiko Bolt,Nicki Whoop,Kanji Giant,Super Marli
14-12-2022 19:00:03.863824,"(1.3, 1.58, 1.5409756097560976)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:05.405039,"(1.3, 1.58, 1.5409756097560976)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:06.883543,"(1.3, 1.58, 1.545)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:08.359422,"(1.3, 1.58, 1.5409756097560976)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:09.815567,"(1.3, 1.58, 1.5409756097560976)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:11.162707,"(1.3, 1.58, 1.5409756097560976)","(17.0, 60.0, 32.8125)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:12.543862,"(1.3, 1.58, 1.5409756097560976)","(17.0, 75.0, 38.4375)","(71.0, 590.0, 532.2222222222222)","(9.0, 21.0, 14.9)","(51.0, 440.0, 244.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:13.962520,"(1.3, 1.58, 1.5409756097560976)","(17.0, 130.0, 59.0625)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:15.351281,"(1.3, 1.6, 1.5488372093023257)","(17.0, 130.0, 59.0625)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
14-12-2022 19:00:16.802529,"(1.3, 1.59, 1.5411627906976744)","(17.0, 130.0, 47.45454545454545)","(71.0, 590.0, 501.66666666666663)","(9.0, 21.0, 14.9)","(51.0, 440.0, 243.0)","(21.0, 75.0, 35.72727272727273)","(4.2, 8.4, 5.133333333333334)","(17.0, 65.0, 35.625)"
