,Collays Spirit,My Snow Queen,Paperclip,Bandit,Chilliwack,Gulf Of Saros,He Knows,Tranquil Bay,Neds Gully,Sacca,Michigan,Cracking Thunder
08-01-2023 15:38:23.261337,"(12.0, 19.5, 18.666666666666668)","(15.0, 25.0, 21.4)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.2, 8.628571428571428)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:24.619199,"(12.0, 19.5, 18.666666666666668)","(15.0, 25.0, 21.4)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.2, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:26.090526,"(12.0, 19.5, 18.44736842105263)","(15.0, 25.0, 21.4)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:27.397609,"(12.0, 19.5, 18.44736842105263)","(15.0, 24.0, 20.0)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:28.709130,"(12.0, 19.5, 18.44736842105263)","(15.0, 24.0, 20.0)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:30.051251,"(12.0, 19.5, 18.44736842105263)","(15.0, 24.0, 20.0)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:31.454227,"(12.0, 19.5, 18.44736842105263)","(15.0, 24.0, 20.0)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:32.758383,"(12.0, 19.5, 18.44736842105263)","(15.0, 24.0, 20.0)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:34.100135,"(12.0, 19.5, 18.44736842105263)","(15.0, 25.0, 19.375)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:35.435610,"(12.0, 19.5, 18.44736842105263)","(15.0, 25.0, 19.375)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.55)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0777777777777775)","(4.2, 5.9, 5.74375)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.55)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:36.836441,"(12.0, 19.5, 18.44736842105263)","(15.0, 25.0, 19.375)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0874999999999995)","(4.2, 5.9, 5.810714285714286)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.6)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:38.248453,"(12.0, 19.5, 18.071428571428573)","(15.0, 25.0, 17.083333333333332)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0874999999999995)","(4.2, 5.9, 5.810714285714286)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.6)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:39.549024,"(12.0, 19.0, 17.714285714285715)","(15.0, 25.0, 17.083333333333332)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0874999999999995)","(4.2, 5.9, 5.810714285714286)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.6)","(41.0, 210.0, 66.0)"
08-01-2023 15:38:40.867365,"(12.0, 19.5, 18.666666666666668)","(15.0, 25.0, 17.083333333333332)","(10.0, 13.0, 12.142857142857142)","(91.0, 220.0, 162.14285714285714)","(12.0, 22.0, 21.5)","(11.0, 17.0, 15.0)","(31.0, 180.0, 136.66666666666669)","(5.0, 5.1, 5.0874999999999995)","(4.2, 5.9, 5.810714285714286)","(4.4, 5.9, 5.54)","(7.5, 9.0, 8.6)","(41.0, 210.0, 66.0)"
