,Loco Tonto,Indy Korie,Orson Thunder,Wheelin In,Kepler Bale,Watch The Clock,My Boy Charlott,Kinson Bale
10-01-2023 16:32:07.193738,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:08.320018,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:09.567266,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:10.743210,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:11.938881,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.470588235294118)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:13.092211,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 8.526315789473685)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:14.247052,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:15.345288,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:16.400754,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
10-01-2023 16:32:17.451727,"(17.0, 48.0, 30.5)","(7.5, 14.0, 12.114285714285714)","(4.6, 10.0, 6.944444444444445)","(12.0, 30.0, 19.72222222222222)","(6.5, 11.5, 8.1)","(8.0, 16.5, 11.777777777777779)","(6.5, 13.0, 8.927272727272728)","(2.4, 3.3, 2.5688888888888886)"
