,What A Knight,Ibiza,Ready To Raid,Mister Brockie,Fernando Rocker,Tinker Train,Whiskey Cobbler,Targaryen Jewel
0,"[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 20, 835194), 26.0, 95.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 22, 6548), 26.0, 95.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 23, 249473), 26.0, 95.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 24, 388550), 26.0, 95.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 25, 523030), 26.0, 95.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 26, 654345), 26.0, 95.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 27, 800202), 26.0, 95.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 17.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 28, 947594), 26.0, 95.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 30, 84710), 26.0, 95.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 31, 273174), 26.0, 95.0]"
10,"[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 32, 404989), 26.0, 95.0]"
11,"[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 33, 543118), 26.0, 95.0]"
12,"[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 2.9, 4.6]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 2.3, 2.78]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 49, 34, 674115), 26.0, 95.0]"
