,Vale Orchard,Discrepancy,Harvard Scholar,Golden State,Hotspot Hero,Mepunga Roz,Axel Coaster
04-01-2023 11:00:01.594034,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.2)"
04-01-2023 11:00:02.584481,"(10.0, 17.0, 11.088888888888889)","(4.0, 6.8, 6.661538461538462)","(11.0, 22.0, 13.0)","(6.0, 11.0, 8.0)","(6.0, 7.2, 6.035820895522388)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:03.605313,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:04.656319,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:05.650137,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:06.654065,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:07.666634,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:08.648419,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:09.621982,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:10.609233,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:11.567047,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:12.552832,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
04-01-2023 11:00:13.547702,"(10.0, 17.0, 11.127272727272727)","(4.0, 6.8, 6.656)","(11.0, 22.0, 13.2)","(6.0, 11.0, 8.13125)","(6.0, 7.2, 6.040909090909091)","(2.0, 2.58, 2.5172727272727276)","(13.0, 19.5, 13.5)"
