,Haveyoucheckedin,Rakasharp Nz,Timely Sovereign,Swedish Meatballs,The Poobah,Outside Fighter,El Jacob,Some Chevron Nz,Classicmajor,Daggy Lamb Nz
10-01-2023 16:19:34.808533,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:36.670750,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:38.557904,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:40.272626,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:42.011586,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:43.444094,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:44.983541,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:46.537341,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:48.200370,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:49.728436,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:51.344955,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:52.890572,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:54.399316,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:55.889131,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.25)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:57.517817,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:19:58.976890,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:00.469795,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:01.948671,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:03.415289,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:04.855948,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:06.282295,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
