,Joeys On A Roll,Isla And Addie,Bronski Zulu,Sheleftalotofbling,Big Bozz
10-01-2023 12:17:04.315966,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:05.268882,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:06.246013,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:07.365601,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:08.426595,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:09.652850,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:10.689672,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:11.611950,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:12.610570,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:13.605223,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:14.574929,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:15.551103,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:16.486317,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:17.391748,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:18.305207,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:19.211174,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:20.176064,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:21.077688,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:21.901554,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
10-01-2023 12:17:22.834744,"(4.2, 5.8, 5.466666666666667)","(5.5, 7.2, 6.45)","(1.8, 2.24, 2.1)","(7.0, 9.2, 8.533333333333333)","(7.0, 10.0, 8.8)"
