,Beauty You,Silver Lad,Silver Scars,Bettys Star,Runs Like Bluey,Speed Craze,Sapphire Pixie,Bag The Cash
04-01-2023 11:23:20.648913,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:21.926046,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:23.280411,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:24.512618,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:25.734751,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:26.923651,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:28.175650,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:29.454100,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:30.724423,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:31.981797,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:33.354380,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:34.778172,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:36.083419,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:37.359549,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
04-01-2023 11:23:38.609570,"(1.45, 2.12, 1.5046153846153847)","(8.0, 17.5, 16.503225806451614)","(31.0, 320.0, 176.0)","(16.0, 46.0, 32.875)","(11.0, 32.0, 30.0)","(5.0, 9.0, 7.024324324324324)","(21.0, 70.0, 41.66666666666667)","(11.0, 36.0, 27.428571428571427)"
