,War Hammer,Sketchy In By,Hooked On Jack,Lend The Moose,Olsen Gang,Willina Charm,Pure Devil,Cosmic Franky
07-12-2022 13:20:40.343925,"(4.2, 6.4, 6.066666666666667)","(2.5, 3.15, 3.092)","(31.0, 80.0, 48.90909090909091)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.566666666666667)"
07-12-2022 13:20:41.571623,"(4.2, 6.4, 6.066666666666667)","(2.5, 3.15, 3.092)","(31.0, 80.0, 48.90909090909091)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.566666666666667)"
07-12-2022 13:20:42.686838,"(4.2, 6.4, 6.066666666666667)","(2.5, 3.15, 3.092)","(31.0, 80.0, 48.90909090909091)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.566666666666667)"
07-12-2022 13:20:43.826406,"(4.2, 6.4, 6.222222222222222)","(2.5, 3.15, 2.976)","(31.0, 80.0, 48.90909090909091)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.566666666666667)"
07-12-2022 13:20:45.024495,"(4.2, 6.4, 6.222222222222222)","(2.5, 3.15, 2.976)","(31.0, 80.0, 48.90909090909091)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.75, 3.535714285714286)"
07-12-2022 13:20:46.179540,"(4.2, 6.4, 6.222222222222222)","(2.5, 3.15, 2.976)","(31.0, 75.0, 50.25)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.75, 3.4944444444444445)"
07-12-2022 13:20:47.261789,"(4.2, 6.4, 6.066666666666667)","(2.5, 3.15, 3.092)","(31.0, 75.0, 50.25)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.75, 3.4944444444444445)"
07-12-2022 13:20:48.409746,"(4.2, 6.4, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 50.25)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.75, 3.6166666666666667)"
07-12-2022 13:20:49.481601,"(4.2, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 50.25)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.75, 3.5472222222222225)"
07-12-2022 13:20:50.533305,"(4.2, 6.8, 6.2)","(2.5, 3.15, 2.976)","(31.0, 75.0, 47.5)","(7.5, 11.5, 11.323076923076924)","(71.0, 440.0, 342.85714285714283)","(9.0, 18.5, 18.166666666666668)","(13.0, 20.0, 18.125)","(3.3, 3.8, 3.5472222222222225)"
