,Identity Thief,Rolling Start,My Gal Cookie,Alpha Humbug,Booming Boo Boo,Spring Acer,Farmor Pizazz,My Melanie
07-01-2023 20:52:10.172836,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:11.405826,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:12.586738,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:13.641739,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:14.782993,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:15.828667,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:16.837789,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:17.923275,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:19.025084,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
07-01-2023 20:52:20.088077,"(3.9, 5.6, 4.7384615384615385)","(4.6, 8.0, 5.2)","(26.0, 130.0, 78.5)","(18.0, 25.0, 19.9)","(3.3, 5.5, 3.9642857142857144)","(7.0, 12.0, 9.975)","(10.0, 17.5, 13.84375)","(5.0, 9.6, 6.623529411764705)"
