,Crystals Dream,Megami,Wozzeck,West Coast Warrior,Yarralea,Tropical Sun
11-01-2023 15:23:04.658116,"(1.8, 2.02, 2.0)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.542857142857143)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:05.774488,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:06.890904,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:07.937959,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:08.921896,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:09.997032,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:10.973861,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:12.048876,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.114285714285715)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:13.087692,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.3, 5.25)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:14.141136,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:15.246456,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:16.233927,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
11-01-2023 15:23:17.208787,"(1.8, 2.0, 1.9952941176470589)","(4.2, 5.4, 5.218181818181819)","(11.0, 19.0, 15.666666666666666)","(11.0, 21.0, 15.857142857142858)","(4.8, 6.0, 5.933333333333334)","(41.0, 95.0, 90.36363636363637)"
