,Slingshot Snoop,Aston Esme,Rock Icon,Conor Pass,Dollar Signs,My Names Lyn,Smiling Quartile,Midnight Marilyn
04-01-2023 13:58:52.188688,"(1.8, 2.7, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.5, 16.628571428571426)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.0, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:53.333110,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 20.0, 16.628571428571426)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:54.374491,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 20.0, 16.628571428571426)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:55.397119,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 20.0, 16.628571428571426)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:56.441210,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.325)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:57.543237,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.325)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:58.660994,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.325)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:58:59.803562,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.325)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:59:00.928104,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.325)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 41.400000000000006)","(21.0, 70.0, 54.0625)"
04-01-2023 13:59:02.075362,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 48.75)","(16.0, 48.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:03.173487,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:04.216888,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.34375)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:05.307071,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:06.507805,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:07.664346,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:08.851828,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:10.051392,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:11.246355,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:12.417120,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:13.538481,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:14.590949,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:15.602680,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:16.609370,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:17.622821,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:18.700301,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:19.732705,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:20.828303,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 28.4375)","(21.0, 70.0, 56.578947368421055)"
04-01-2023 13:59:21.907855,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:22.899228,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:23.993140,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:25.094519,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:26.282165,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:27.427358,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:28.545629,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:29.700473,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:30.843641,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:31.987514,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:33.052834,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:34.138680,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:35.239635,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:36.354926,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:37.483555,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:38.565491,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:39.665406,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:40.702080,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 38.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:41.728559,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:42.737742,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:43.760293,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:44.799363,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:45.893062,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:46.947310,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:47.989154,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:49.071107,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:50.167629,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:51.286959,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:52.446838,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:53.593754,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 17.233333333333334)","(11.0, 26.0, 22.25)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 48.75)","(16.0, 50.0, 39.21875)","(21.0, 70.0, 55.294117647058826)"
04-01-2023 13:59:54.795289,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 22.25)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 13:59:55.951225,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 13:59:57.076256,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 13:59:58.197572,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 13:59:59.267876,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 14:00:00.330621,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 14:00:01.522144,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 36.730769230769226)","(21.0, 70.0, 52.142857142857146)"
04-01-2023 14:00:02.610919,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 50.0, 35.5)","(21.0, 70.0, 49.58333333333333)"
04-01-2023 14:00:03.727047,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 41.66666666666667)","(16.0, 48.0, 35.5)","(21.0, 70.0, 49.58333333333333)"
04-01-2023 14:00:04.881221,"(1.8, 2.54, 1.8691666666666666)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
04-01-2023 14:00:06.027138,"(1.8, 2.54, 1.8704347826086958)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
04-01-2023 14:00:07.158821,"(1.8, 2.54, 1.8704347826086958)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
04-01-2023 14:00:08.318024,"(1.8, 2.54, 1.8704347826086958)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
04-01-2023 14:00:09.475686,"(1.8, 2.54, 1.8704347826086958)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
04-01-2023 14:00:10.693697,"(1.8, 2.54, 1.8704347826086958)","(11.0, 26.0, 24.708333333333336)","(8.5, 19.0, 18.770212765957446)","(11.0, 26.0, 24.708333333333336)","(3.3, 5.5, 3.6259259259259258)","(20.0, 70.0, 44.5)","(16.0, 48.0, 37.16666666666667)","(21.0, 70.0, 52.18181818181818)"
