,Homebush Jaxon,Homebush Macho,Homebush Leana,Mulberry Queen,Homebush Ice,Daisy Bee,Optional Extra
0,"[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 25, 43291), 3.4, 9.6]"
1,"[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 26, 155345), 3.4, 9.6]"
2,"[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 27, 280871), 3.4, 9.6]"
3,"[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 28, 396611), 3.4, 9.6]"
4,"[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 29, 513485), 3.4, 9.6]"
5,"[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 30, 626326), 3.4, 9.6]"
6,"[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 31, 740682), 3.4, 9.6]"
7,"[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 32, 851555), 3.4, 9.6]"
8,"[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 33, 968232), 3.4, 9.6]"
9,"[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 35, 78927), 3.4, 9.6]"
10,"[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 36, 198782), 3.4, 9.6]"
11,"[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 37, 312914), 3.4, 9.6]"
12,"[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 38, 448129), 3.4, 9.6]"
13,"[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 39, 562791), 3.4, 9.6]"
14,"[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 40, 685520), 3.4, 9.6]"
15,"[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 7.0, 19.0]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 19.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 42, 41, 811532), 3.4, 9.6]"
