,Sweet Silver,Churn It Up,Blue Cod,Miss Fischer,Boudicca
04-01-2023 10:09:12.443783,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:13.304624,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:14.113788,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:15.021605,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:15.888885,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:16.673235,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:17.521712,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:18.378043,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:19.182146,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
04-01-2023 10:09:19.991358,"(3.3, 8.4, 5.33939393939394)","(1.5, 2.4, 2.30768115942029)","(14.0, 55.0, 50.166666666666664)","(16.0, 70.0, 62.0)","(7.5, 26.0, 16.592)"
