,Kendys Butterfly,Feisty Phoebe,Real Dash Nz,Lightning Jash,Guaranteed Secret,Filcarlo,Shadow Terror,Sir Roman
0,"[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 1.95, 2.68]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 37, 106724), 5.5, 8.2]"
1,"[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 1.95, 2.74]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 38, 338549), 5.5, 8.2]"
2,"[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 39, 563522), 5.5, 8.2]"
3,"[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 40, 821463), 5.5, 8.2]"
4,"[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 42, 154191), 5.5, 8.2]"
5,"[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 43, 419073), 5.5, 8.2]"
6,"[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 44, 671158), 5.5, 8.2]"
7,"[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 45, 924276), 5.5, 8.2]"
8,"[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 47, 128931), 5.5, 8.2]"
9,"[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 3.9, 6.0]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 31.0, 99999]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 1.95, 2.72]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 31.0, 50.0]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 101.0, 360.0]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 44, 48, 352653), 5.5, 8.2]"
