,Son Of Haka,Smoking Sophie,Its Your Shout,Annas Spark,By The Dram,Sky Stone
08-01-2023 17:23:57.737629,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 30.0, 21.75)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:23:58.632286,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 30.0, 21.75)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:23:59.550649,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 30.0, 21.75)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:24:00.512389,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 30.0, 21.75)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:24:01.513930,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 30.0, 21.75)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:24:02.412632,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.06, 1.5615384615384615)"
08-01-2023 17:24:03.342065,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.06, 1.5569230769230769)"
08-01-2023 17:24:04.219503,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:05.044039,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:05.915878,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:06.780952,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:07.655744,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:08.536818,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:09.475291,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:10.623538,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:11.614598,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:12.503728,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:13.395732,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:14.284301,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:15.231392,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:16.129875,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:17.005090,"(10.0, 29.0, 18.546666666666667)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:18.032755,"(10.0, 29.0, 21.872727272727275)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:18.917221,"(10.0, 29.0, 26.550000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:19.776956,"(10.0, 29.0, 26.550000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:20.712561,"(10.0, 29.0, 26.550000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:21.649518,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:22.610366,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:23.524361,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:24.429967,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:25.281970,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:26.111650,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:27.034910,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:27.919057,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:28.902712,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:29.901601,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:30.865616,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:31.784276,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:32.740116,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
