,Fabios Ethics,Good Odds Carla,Boa Vista,Allowed To Dream,Why So Serious,Optimus Eli,Unacceptable Les,Kalyara
08-01-2023 18:03:41.414650,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:42.524905,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:43.594670,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:44.744761,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:45.946004,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:47.092552,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:48.174952,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:49.245244,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:50.514870,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:51.647523,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:52.699919,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:53.770366,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:54.864592,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
08-01-2023 18:03:56.010071,"(8.0, 15.5, 10.633333333333333)","(2.5, 4.0, 2.744615384615385)","(2.15, 3.3, 2.3015999999999996)","(5.5, 9.6, 7.873684210526315)","(31.0, 130.0, 80.0)","(51.0, 550.0, 479.2857142857142)","(21.0, 70.0, 47.72727272727273)","(31.0, 320.0, 178.0)"
