,Cosmic Leilani,Who Told Sarah,Speedy Quokka,Dr Dulcie,Boo Boos Better,Stars Hope,Gucci Giblet,Agnes
10,"[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 15, 976226), 26.0, 120.0]"
11,"[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 17, 103221), 26.0, 120.0]"
12,"[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 18, 239784), 26.0, 120.0]"
13,"[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 19, 372848), 26.0, 120.0]"
14,"[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 20, 512964), 26.0, 120.0]"
15,"[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 21, 643148), 26.0, 120.0]"
16,"[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 22, 769245), 26.0, 120.0]"
17,"[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 23, 891742), 26.0, 120.0]"
18,"[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 25, 19252), 26.0, 120.0]"
19,"[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 26, 152774), 26.0, 120.0]"
20,"[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 27, 278923), 26.0, 120.0]"
21,"[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 28, 415475), 26.0, 120.0]"
22,"[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 29, 541713), 26.0, 120.0]"
23,"[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 30, 680990), 26.0, 120.0]"
24,"[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 31, 806746), 26.0, 120.0]"
25,"[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 32, 935119), 26.0, 120.0]"
