,Terrific Keith,Lochinvar Jazz,Hannele Bale,Daksha Bale,Gotham Diva,Long Shadow,Vance Bale,Dr Ronald
11-01-2023 19:44:29.732579,"(1.95, 3.05, 2.825)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.733333333333333)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:30.997113,"(1.95, 3.05, 2.825)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.733333333333333)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:32.263285,"(1.95, 3.05, 2.825)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.733333333333333)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:33.602987,"(1.95, 3.05, 2.825)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.36)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:34.869186,"(1.95, 3.0, 2.830769230769231)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.0)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:36.252451,"(1.95, 3.0, 2.830769230769231)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.719999999999999)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:37.590654,"(1.95, 3.0, 2.651666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.719999999999999)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:38.865099,"(1.95, 3.0, 2.651666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.246153846153845)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:40.182700,"(1.95, 3.0, 2.651666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.246153846153845)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:41.403099,"(1.95, 3.0, 2.651666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.246153846153845)","(31.0, 120.0, 45.54545454545455)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 69.8)"
