,Tap Out Lucy,Leapling,Zipping Supremo,Tap Out Sniper,Anjo Typhoon,Golden Light,Draco,Sooky Lala
11-01-2023 16:17:59.142774,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.6)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:00.371374,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.6)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:01.812905,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.6)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:02.955067,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.6)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:04.185672,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:05.442039,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:06.906321,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:08.276176,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:09.398823,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:10.552159,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:11.814359,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:13.069401,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
11-01-2023 16:18:14.283842,"(2.9, 4.6, 3.5066666666666664)","(7.0, 13.5, 10.98)","(4.4, 7.6, 5.1)","(17.0, 55.0, 41.607142857142854)","(7.5, 13.0, 8.833333333333334)","(5.0, 8.0, 6.133333333333334)","(13.0, 30.0, 28.73076923076923)","(7.5, 13.0, 12.82857142857143)"
