,Zipping Ontario,Dembe,Zipping Tracker,Mrs Chinn,Opawa Conan,Gitan
12-01-2023 16:08:04.106232,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:05.049016,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:06.239986,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:07.219190,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:08.163266,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:09.156066,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:10.066709,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:10.922169,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:11.907601,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:12.806097,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:13.788541,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
