,Paramount Ace,Bold Onyx,Tennessee Jacks,Racey Kasey,Koepka,Victa Makayla
08-01-2023 18:43:55.432149,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.0, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:43:56.441670,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:43:57.454275,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:43:58.446247,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:43:59.680851,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:00.716628,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:01.681025,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:02.730672,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:03.777775,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:04.928021,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 8.67142857142857)","(7.0, 12.0, 9.666666666666666)"
08-01-2023 18:44:06.006570,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 8.82)","(11.0, 21.0, 19.75)","(7.0, 17.5, 9.65)","(7.0, 12.0, 8.625)"
08-01-2023 18:44:06.959468,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 10.95)","(11.0, 21.0, 18.625)","(7.0, 17.0, 8.833333333333334)","(7.0, 12.0, 8.625)"
08-01-2023 18:44:08.022900,"(3.1, 4.0, 3.4857142857142858)","(2.3, 3.65, 3.2066666666666666)","(8.0, 14.5, 11.918181818181818)","(11.0, 21.0, 18.625)","(7.0, 17.0, 8.833333333333334)","(7.0, 12.0, 8.625)"
