,Ocean Girl,Letter To You,Hurricane Daisy,Behind Greywalls,Gethsemane,Wolf,Queen Zipper
08-12-2022 14:35:55.750806,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:35:56.986794,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:35:58.282909,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:35:59.602473,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:01.173659,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:02.526526,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:04.188657,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:05.919876,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:07.471452,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:08.760407,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
