,Dr Nightingale,Dan Dan,Big Buddha,Phelan Seedy,Dr Rogan,Irish,Style Key,Fun Idol
07-12-2022 19:32:08.855758,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 34.44444444444444)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 120.0, 63.38461538461539)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:10.108473,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 34.44444444444444)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.2444444444444445)","(3.1, 4.9, 4.7272727272727275)","(31.0, 120.0, 63.38461538461539)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:11.475282,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 34.44444444444444)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 120.0, 63.38461538461539)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:12.713164,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 34.44444444444444)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 120.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:13.938641,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 34.44444444444444)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:15.359618,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 32.1875)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.2444444444444445)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:16.704448,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 32.1875)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.2444444444444445)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:17.952614,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 32.1875)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.2444444444444445)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:19.199395,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 32.1875)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
07-12-2022 19:32:20.386080,"(12.0, 26.0, 19.0)","(7.0, 11.5, 10.09)","(19.0, 55.0, 37.95454545454545)","(5.0, 8.6, 5.514285714285714)","(5.0, 7.8, 6.481818181818182)","(3.1, 4.9, 4.7272727272727275)","(31.0, 110.0, 59.53846153846153)","(3.4, 6.4, 4.65)"
