,Maybe Tomorrow,Yamazaki Riot,Blocked Knows,Smell Like Beans,Slingshot Xena,Slingshot Sneaky
12,"[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 36, 248281), 5.0, 7.6]"
13,"[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 37, 362689), 5.0, 7.6]"
14,"[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 38, 460074), 5.0, 7.6]"
15,"[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 39, 562649), 5.0, 7.6]"
16,"[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 40, 659031), 5.0, 7.6]"
17,"[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 41, 760008), 5.0, 7.6]"
18,"[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 42, 853121), 5.0, 7.6]"
19,"[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 43, 955097), 5.0, 7.6]"
20,"[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 45, 69239), 5.0, 7.6]"
21,"[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 46, 172045), 5.0, 7.6]"
