,My Mate Tip,Roman Blazer,Zipping James,Extreme Rock,Dundee Rebel,Ox The Man,Legal Bud
07-01-2023 20:02:13.805070,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:14.858737,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:15.977635,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:17.066643,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:18.249896,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:19.387873,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:20.587220,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:21.745276,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:22.941980,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:24.092946,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:25.187616,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:26.396482,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:27.628841,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
