,Indy Ghost,Xandra Bale,Star Impact,Impresario,Elite Jet,Release The Rage,Hill Top Jonnie,Ice Star
11-01-2023 20:19:37.346528,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9636363636363634)","(7.5, 16.0, 11.444444444444443)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:38.627074,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 11.444444444444443)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:39.868321,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:41.130170,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:42.345206,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:43.523690,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:44.757445,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:46.045426,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.9, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:47.232008,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:48.486097,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:49.765076,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 46.90909090909091)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:51.039045,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:52.334756,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:53.605382,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:54.864681,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 2.9636363636363634)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:56.072832,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:57.241292,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
